"UniprotID","EntrezGeneSymbol","TargetFullName","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLog10FDR","Direction of change"
"Q9HBM1","SPC25","Kinetochore protein Spc25",0.375920519537815,3.2291600879079,39.9868689373167,4.24027962341211e-192,2.71462701490843e-188,423.891098045725,187.566289833292,"Upregulated"
"O75347","TBCA","Tubulin-specific chaperone A",-0.221144237889387,3.44512735385057,-22.1505506338761,5.88032981196682e-85,1.88229357281058e-81,181.985622003501,80.725312640681,"Downregulated"
"P07196","NEFL","Neurofilament light polypeptide",-0.154969339589961,2.77619630833579,-19.062045816919,5.98154477064011e-67,1.2764616540546e-63,141.125609038264,62.8939922272229,"Downregulated"
"Q99584","S100A13","Protein S100-A13",-0.28358254402568,3.52120054279397,-18.9695864025946,2.00560267105885e-66,3.2099670750297e-63,139.932989630046,62.4934994221765,"Downregulated"
"Q16619","CTF1","Cardiotrophin-1",0.110897887923045,3.46022885562626,16.0368439191249,2.53202493658462e-50,3.24200472880294e-47,103.383214159141,46.4891863560231,"Upregulated"
"Q7Z5W3","BCDIN3D","Pre-miRNA 5'-monophosphate methyltransferase",-0.242012793993782,4.30529520169101,-15.5988654270709,4.9898135480416e-48,5.32413105576039e-45,98.1747712080039,44.2737512627216,"Downregulated"
"Q92185","ST8SIA1","Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase",-0.0912025385114052,3.72366417147305,-14.6101239260048,5.66105582876456e-43,5.17743991653582e-40,86.702651943073,39.2858849323318,"Downregulated"
"Q12778","FOXO1","Forkhead box protein O1A",-0.122582637867055,3.60264173543139,-14.4367347342716,4.17171945770197e-42,3.338418496026e-39,84.7343110816689,38.4764592221438,"Downregulated"
"O43175","PHGDH","D-3-phosphoglycerate dehydrogenase",-0.0989103249484887,2.96724546392259,-14.1282564571268,1.40849064798378e-40,1.00190634759913e-37,81.2662622138167,36.9991728719037,"Downregulated"
"Q6UXK5","LRRN1","Leucine-rich repeat neuronal protein 1:Cytoplasmic domain",0.11418527628736,2.84311963061593,13.706576046774,1.60862864974114e-38,1.02984406156428e-35,76.5979606693543,34.9872285309542,"Upregulated"
"O43264","ZW10","Centromere/kinetochore protein zw10 homolog",-0.111434016601026,3.89450603650799,-13.4729468263822,2.1392262473079e-37,1.2450296759332e-34,74.048764414219,33.9048202968089,"Downregulated"
"Q9BTE7","DCUN1D5","DCN1-like protein 5",-0.086961052292097,3.33633114577017,-10.9444337969042,4.68367875951543e-26,2.49874261820148e-23,48.3480511636974,22.602278475867,"Downregulated"
"P36404","ARL2","ADP-ribosylation factor-like protein 2",-0.124335039515618,2.86126202709345,-10.6753043513765,6.03444641642199e-25,2.97173276599489e-22,45.8357749364275,21.5269902472237,"Downregulated"
"Q96BN8","OTULIN","Ubiquitin thioesterase otulin",0.0464214753264899,3.12371625468648,10.3236415815969,1.58663481738791e-23,7.25545435779816e-21,42.623724251253,20.1393353855824,"Upregulated"
"O14683","TP53I11","Tumor protein p53-inducible protein 11",-0.176944032384357,3.52731771258541,-9.47743071299253,2.94793592669864e-20,1.25817905351498e-17,35.2353134956954,16.9002575493359,"Downregulated"
"Q0P6D2","DIPK1C","Protein FAM69C",-0.0449451175009496,3.11248836854293,-8.21076466471453,8.91766791139105e-16,3.56818187304534e-13,25.1310000558294,12.4475530173993,"Downregulated"
"Q9UBQ0","VPS29","Vacuolar protein sorting-associated protein 29",-0.10041165461456,3.47815630738829,-7.8309516513781,1.55650913030028e-14,5.86163026598966e-12,22.3371423338463,11.2319815790236,"Downregulated"
"Q13572","ITPK1","Inositol-tetrakisphosphate 1-kinase",-0.0658211187282981,3.69156891850318,-7.58331786848132,9.45480594171781e-14,3.36275931327097e-11,20.5765340530867,10.473304215843,"Downregulated"
"Q9BUN1","MENT","Protein MENT",0.0749740486502244,3.18785290940831,7.09756973206328,2.82650580469465e-12,9.52383692718691e-10,17.2657816729982,9.0211880494525,"Upregulated"
"P32320","CDA","Cytidine deaminase",-0.0692322765440056,3.33815366894027,-6.99270723203403,5.74106000504367e-12,1.83771330761448e-09,16.5762730498454,8.7357222397576,"Downregulated"
"P08727","KRT19","Keratin, type I cytoskeletal 19",-0.0526544938600368,3.19577186479047,-6.98517388550643,6.03880708657517e-12,1.84097347467877e-09,16.5270869839949,8.73495246890154,"Downregulated"
"O00744","WNT10B","Protein Wnt-10b",-0.0680181852929108,3.15146126004506,-6.86688092468867,1.32780028896711e-11,3.86389884089429e-09,15.7608882076671,8.41297425218835,"Downregulated"
"Q99081","TCF12","Transcription factor 12",-0.116902624958895,3.50398923542814,-6.44870084788667,1.9623536128742e-10,5.46216862157419e-08,13.1458360112893,7.26263489696655,"Downregulated"
"Q16659","MAPK6","Mitogen-activated protein kinase 6",-0.0381460024245847,4.75831202293438,-5.94600074897826,4.12106182180679e-09,1.09929324096696e-06,10.1986380636539,5.9588864422932,"Downregulated"
"P62306","SNRPF","Small nuclear ribonucleoprotein F",-0.0469288302922083,3.17762509868794,-5.8976074959604,5.46264914843092e-09,1.39887519393019e-06,9.92641014903764,5.85422103104449,"Downregulated"
"Q12904","AIMP1","Endothelial monocyte-activating polypeptide 2",-0.0354422455566408,3.32903370399963,-5.56476361394777,3.59483994578114e-08,8.85160205111188e-06,8.10944964860067,5.05297811924671,"Downregulated"
"Q92506","HSD17B8","Estradiol 17-beta-dehydrogenase 8",-0.0366256589433208,3.28857226622245,-5.31267636935354,1.40561847838167e-07,3.33287759207386e-05,6.79829029392577,4.47718063655342,"Downregulated"
"P31751","AKT2","RAC-beta serine/threonine-protein kinase",-0.0325299985005807,3.16402525382321,-5.29626421882273,1.53317958220458e-07,3.50550560188346e-05,6.71488482074458,4.45524933453836,"Downregulated"
"Q14681","KCTD2","BTB/POZ domain-containing protein KCTD2",-0.073973047112956,2.82270123899487,-4.89455173123781,1.19448208175321e-06,0.000256332334273112,4.74869428754431,3.59119660758606,"Downregulated"
"P02741","CRP","C-reactive protein",-0.138472480767723,4.39345468838019,-4.89341805656307,1.2011824473904e-06,0.000256332334273112,4.74335130279052,3.59119660758606,"Downregulated"
"P40306","PSMB10","Proteasome subunit beta type-10",-0.0291444908052414,3.97479391700213,-4.80336932220802,1.866404664152e-06,0.000385442666448423,4.32267673638829,3.41404021293563,"Downregulated"
"P09913","IFIT2","Interferon-induced protein with tetratricopeptide repeats 2",-0.0508659590102336,3.33216399454276,-4.79588533103498,1.93541197948096e-06,0.00038720335914491,4.28804567148271,3.41206088366796,"Downregulated"
"O00161","SNAP23","Synaptosomal-associated protein 23",0.0330262089227472,3.59230504084063,4.72004835715509,2.78831120824013e-06,0.000538037092238807,3.93999604765208,3.26918778307088,"Upregulated"
"Q99627","COPS8","COP9 signalosome complex subunit 8",-0.0262852798496705,3.17206818748031,-4.71492442699638,2.85742910592306e-06,0.000538037092238807,3.91666898614487,3.26918778307088,"Downregulated"
"Q9Y3A3","MOB4","MOB-like protein phocein",-0.0311612972799918,3.26949066414161,-4.67261886237205,3.49455612710278e-06,0.000639204237877486,3.72498505835599,3.19436035434377,"Downregulated"
"Q9BPW9","DHRS9","Dehydrogenase/reductase SDR family member 9",-0.032897477852099,2.9355907964604,-4.48657730805561,8.31106945883272e-06,0.00147798518542909,2.90147211249332,2.83032991906612,"Downregulated"
"Q01415","GALK2","N-acetylgalactosamine kinase",-0.0366302251969319,3.91878001152194,-4.47026903226895,8.95376007490796e-06,0.00154924248647461,2.83079712951548,2.80988060141713,"Downregulated"
"O75078","ADAM11","Disintegrin and metalloproteinase domain-containing protein 11",-0.0521128026704931,3.64892067543975,-4.18165874409186,3.21741643008447e-05,0.0054204999961581,1.62063848651801,2.26596065155069,"Downregulated"
"Q96JB5","CDK5RAP3","CDK5 regulatory subunit-associated protein 3",-0.0293672070561074,3.67514074815868,-4.03300836451873,6.04020722205346e-05,0.00991523247066315,1.02746636868718,2.00369709895312,"Downregulated"
"Q86SI9","C5orf38","Protein CEI",0.0438107754284647,3.69026908025102,4.00664984257773,6.74003816687797e-05,0.0107874310860882,0.924434358969945,1.96708196569409,"Upregulated"
"P61106","RAB14","Ras-related protein Rab-14",-0.0390062080062368,3.26952592956934,-3.99918526054214,6.95178620707877e-05,0.0108549598287118,0.895374103545535,1.96437177941371,"Downregulated"
"P51814","ZNF41","Zinc finger protein 41",0.0377301563760446,2.25889725176587,3.97784213588067,7.59256403319514e-05,0.0115732368905989,0.812570576156155,1.9365451572868,"Upregulated"
"Q13490","BIRC2","Baculoviral IAP repeat-containing protein 2",-0.0386778715783449,3.05663490820826,-3.96474477015802,8.0130736606895e-05,0.0119301622269149,0.761968285694771,1.92335365073243,"Downregulated"
"O75427","LRCH4","Leucine-rich repeat and calponin homology domain-containing protein 4:Calponin Homology",0.0350207464387659,3.09511176614537,3.84476986070461,0.000130360669764898,0.0189674774507926,0.30590868572411,1.72199042356821,"Upregulated"
"Q6E0U4","DMKN","Dermokine",-0.0220683651724347,2.84345498899095,-3.83562666979286,0.000135214691997987,0.0192365435149136,0.271705832846954,1.71587296074186,"Downregulated"
"Q8NFX7","STXBP6","Syntaxin-binding protein 6",-0.0379476460863614,3.45548759544604,-3.74672393248547,0.000192181099239354,0.026746595594138,-0.056769219296064,1.57273148873701,"Downregulated"
"A5PKW4","PSD","PH and SEC7 domain-containing protein 1",0.0440999915362434,2.83398816973848,3.69829911895097,0.000232051947618487,0.0316084376309267,-0.232561164055745,1.50019697031152,"Upregulated"
"Q96FI4","NEIL1","Endonuclease 8-like 1",-0.0290418268000677,3.95133053636936,-3.68508022337806,0.000244217422541747,0.0325724987315055,-0.28016479265843,1.48714892415912,"Downregulated"
"Q8N128","FAM177A1","Protein FAM177A1",0.0262760284629266,3.37987828003373,3.66914906463849,0.000259675500682529,0.0339273990891745,-0.337316962829347,1.46944943255986,"Upregulated"
"P04114","APOB","Apolipoprotein B",0.0325567616059968,3.1874690867538,3.64234617396709,0.000287774225569335,0.0368466118418976,-0.432930927725588,1.43360244066838,"Upregulated"
"P02649","APOE","Apolipoprotein E",-0.0426658141742041,3.89865955538729,-3.6005068445239,0.00033740096104957,0.042353744169399,-0.580829452546128,1.37310819099484,"Downregulated"
"P13051","UNG","Uracil-DNA glycosylase",-0.0560071580550602,3.24015529872556,-3.56790838157399,0.000381511734038125,0.0465449934985585,-0.694916413355056,1.33212702602275,"Downregulated"
"Q14376","GALE","UDP-glucose 4-epimerase",-0.0291377152653776,2.81770666474334,-3.56525496007143,0.000385330311687535,0.0465449934985585,-0.704158563273412,1.33212702602275,"Downregulated"
